position,player,points_2425,gw1_28,gw29_38
MID,Jack Harrison,81,56,25
MID,Matheus Luiz Nunes,81,45,36
MID,Lucas Tolentino Coelho de Lima,80,67,13
DEF,Toti António Gomes,79,51,28
MID,Harry Wilson,78,63,15
MID,John McGinn,78,53,25
FWD,Rasmus Højlund,78,50,28
DEF,Emerson Palmieri dos Santos,76,59,17
DEF,Matty Cash,76,41,35
MID,Ryan Christie,76,73,3
DEF,Calvin Bassey,75,61,14
MID,Facundo Buonanotte,75,62,13
MID,Jordan Ayew,75,57,18
DEF,Matt Doherty,75,51,24
MID,Yasin Ayari,74,46,28
FWD,Omar Marmoush,73,26,47
MID,Vitaly Janelt,73,68,5
MID,Joe Aribo,72,65,7
DEF,Kieran Trippier,72,34,38
MID,Stephy Mavididi,72,59,13
MID,Pape Matar Sarr,71,60,11
DEF,Tosin Adarabioyo,71,49,22
DEF,James Justin,70,47,23
GK,Alphonse Areola,69,42,27
DEF,Chris Richards,68,53,15
DEF,Lisandro Martínez,68,68,0
DEF,Matthijs de Ligt,68,60,8
MID,Tyler Dibling,68,51,17
MID,Ryan Yates,67,52,15
MID,Sam Morsy,67,51,16
MID,Will Hughes,67,53,14
FWD,Darwin Núñez Ribeiro,66,60,6
MID,Ethan Nwaneri,66,45,21
GK,Guglielmo Vicario,66,55,11
MID,Jacob Ramsey,66,52,14
DEF,Rico Lewis,66,55,11
MID,Amadou Onana,65,41,24
DEF,Jake O'Brien,65,30,35
FWD,Joshua Zirkzee,64,59,5
MID,Wilfred Ndidi,64,45,19
FWD,Dominic Calvert-Lewin,63,59,4
MID,Jens Cajuste,63,37,26
GK,Mads Hermansen,63,53,10
DEF,Pervis Estupiñán,63,44,19
MID,Gonçalo Manuel Ganchinho Guedes,62,54,8
DEF,Sepp van den Berg,62,37,25
MID,André Trindade da Costa Neto,61,42,19
DEF,Manuel Akanji,61,44,17
MID,Christopher Nkunku,60,56,4
DEF,Jan Bednarek,60,47,13
DEF,Malo Gusto,60,40,20
MID,Simon Adingra,60,38,22
DEF,Joël Veltman,59,58,1
MID,Julio Enciso,59,22,37
MID,Jefferson Lerma Solís,58,38,20
MID,Tyler Adams,58,39,19
DEF,Adam Smith,57,34,23
MID,Boubacar Kamara,57,30,27
FWD,Cameron Archer,57,45,12
DEF,Ian Maatsen,57,24,33
DEF,Ryan Sessegnon,57,13,44
